,Kernel,Pooling,Loss,Accuracy,Precision,Recall,F1
0,3.0,2.0,0.153041273355484,0.9670000076293945,0.9670284175944758,0.9667458754899162,0.966787645645471
1,3.0,3.0,0.10257403552532196,0.9782000184059143,0.9782142258293414,0.9779740807738586,0.9780552330660365
2,3.0,4.0,0.07976658642292023,0.9830999970436096,0.9832223457377053,0.982792013109286,0.9829627218780088
3,3.0,5.0,0.07089988887310028,0.9815999865531921,0.9813267534789645,0.981614612620788,0.9813928809597519
4,4.0,2.0,0.33136844635009766,0.9552000164985657,0.956071675235649,0.9555513813409447,0.9548733313023818
5,4.0,3.0,0.11718012392520905,0.9807000160217285,0.9805736000582879,0.9805313892228673,0.9805117319278509
6,4.0,4.0,0.08959540724754333,0.9818000197410583,0.9820154872486805,0.9816507992839016,0.981738674976776
7,4.0,5.0,0.09242858737707138,0.9793999791145325,0.979362713123386,0.9789572185005746,0.9790924626198668
8,5.0,2.0,0.25049105286598206,0.9578999876976013,0.9593472140909753,0.9572978603828621,0.9578370862630624
9,5.0,3.0,0.12001525610685349,0.9787999987602234,0.9788198466789371,0.9784593282094504,0.9785468994917069
10,5.0,4.0,0.10731521993875504,0.9793000221252441,0.9792467744319968,0.9793308918418455,0.979157010600647
11,5.0,5.0,0.0790158286690712,0.9821000099182129,0.98219475208729,0.9820364432562038,0.9820196112289296
